date,total_pnl,num_trades,avg_size,total_volume,wins,losses,longs,shorts,win_rate,ls_ratio,fg_index,sentiment,sentiment_enc,next_day_pnl,target,pnl_std,vol_bucket
2024-02-12,913.8817869999998,16,14202.981249999999,227247.69999999998,6.0,9.0,4.0,12.0,0.39999999997333335,0.33333333330555553,70.0,Greed,3,559.44389,1,492.7755652561661,Low
2024-02-13,559.44389,14,142.85642857142858,1999.99,14.0,0.0,14.0,0.0,0.9999999999285715,14000000000.0,79.0,Extreme Greed,1,3830.599833,1,471.5698465563437,Low
2024-02-14,3830.599833,111,2890.4493693693694,320839.88,83.0,1.0,74.0,37.0,0.988095238083475,1.9999999999459461,74.0,Greed,3,1840.797677,1,1311.4280955635281,Low
2024-02-15,1840.797677,63,2939.4926984126987,185188.04,57.0,3.0,8.0,55.0,0.9499999999841667,0.14545454545190084,72.0,Greed,3,5491.768834,1,1217.5763816381002,Low
2024-02-16,5491.768834,182,3103.826978021978,564896.51,146.0,0.0,61.0,121.0,0.9999999999931508,0.5041322314007923,72.0,Greed,3,1929.6418,1,1886.1940632082153,Low
2024-02-17,1929.6418,94,4320.405,406118.07,61.0,4.0,69.0,25.0,0.9384615384471006,2.7599999998896,76.0,Extreme Greed,1,477.6248299999999,1,1803.656308185444,Low
2024-02-18,477.6248299999999,97,1619.0532989690723,157048.17,61.0,7.0,82.0,15.0,0.8970588235162197,5.466666666302222,72.0,Greed,3,4317.768563,1,1870.413887856141,Low
2024-02-19,4317.768563,101,2835.417821782178,286377.2,77.0,2.0,57.0,45.0,0.9746835442914596,1.2666666666385187,75.0,Extreme Greed,1,3263.628824,1,1937.0417513357095,Low
2024-02-20,3263.628824,39,3062.0441025641026,119419.72,31.0,1.0,29.0,10.0,0.9687499999697267,2.89999999971,72.0,Greed,3,1858.7985700000002,1,1710.4250026906677,Low
2024-02-21,1858.7985700000002,22,4911.250909090909,108047.51999999999,15.0,0.0,22.0,0.0,0.9999999999333333,22000000000.0,78.0,Extreme Greed,1,3894.1050699999996,1,1717.3562579068,Low
2024-02-22,3894.1050699999996,88,4239.02125,373033.87,40.0,14.0,88.0,2.0,0.7407407407270233,43.999999978,74.0,Greed,3,1418.55293,1,1713.5224845743749,Low
2024-02-23,1418.55293,143,776.966013986014,111106.14,137.0,1.0,11.0,132.0,0.992753623181212,0.08333333333270203,76.0,Extreme Greed,1,-30.7705,0,1402.997668424881,Low
2024-02-25,-30.7705,5,896.0260000000001,4480.13,0.0,2.0,0.0,5.0,0.0,0.0,74.0,Greed,3,4416.8473,1,1690.685372447005,Low
2024-02-26,4416.8473,39,4927.875384615385,192187.14,34.0,0.0,9.0,30.0,0.9999999999705883,0.29999999999,72.0,Greed,3,888.511733,1,1688.538948907862,Low
2024-02-27,888.511733,63,3323.2111111111108,209362.3,26.0,16.0,23.0,40.0,0.6190476190328799,0.574999999985625,79.0,Extreme Greed,1,2503.747235,1,1649.5164415816396,Low
2024-02-28,2503.747235,45,3802.380666666667,171107.13,39.0,0.0,12.0,33.0,0.9999999999743591,0.3636363636253444,82.0,Extreme Greed,1,9813.996992,1,1595.3645081241157,Low
2024-02-29,9813.996992,116,3410.9200862068965,395666.73,100.0,0.0,46.0,71.0,0.99999999999,0.6478873239345367,80.0,Extreme Greed,1,8244.241409,1,3294.1919142728398,Low
2024-03-01,8244.241409,137,3452.370072992701,472974.7,128.0,0.0,107.0,30.0,0.9999999999921876,3.566666666547778,80.0,Extreme Greed,1,230.90060000000005,1,3802.230857659121,Low
2024-03-02,230.90060000000005,31,2038.6309677419354,63197.56,21.0,7.0,2.0,29.0,0.7499999999732143,0.06896551723900118,80.0,Extreme Greed,1,8361.086245,1,3954.527754120383,Low
2024-03-03,8361.086245,79,4946.1478481012655,390745.68,54.0,0.0,60.0,19.0,0.9999999999814816,3.1578947366759005,83.0,Extreme Greed,1,27799.775742,1,3898.1790525768524,Low
