Account,total_trades,total_pnl,avg_pnl,pnl_std,avg_size,total_volume,win_rate,long_pct,Cluster,Archetype,pca1,pca2
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3663,103343.716161,28.212862724815725,132.96309930646186,586.8135844935846,2149498.16,0.822003822003822,0.17502054231717337,2,Struggling,-0.7786171229662131,-0.9352631080995438
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2233,677747.050643,303.5141292624273,1175.8462005174265,9011.692463054187,20123109.27,0.948499776085983,0.897842056932966,1,Moderate,-0.1143510019978143,1.7748284629225444
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2949,308975.869716,104.77309925940996,1050.0303413479937,21982.652390640895,64826841.9,0.9267548321464903,0.734704641350211,0,Moderate,-0.231685772498702,1.8012650213837837
0x513b8629fe877bb581bf244e326a047b249c4ff1,5482,840422.555216,153.30582911638086,948.4990800899399,38102.69430499818,208878970.18,0.8954761036118205,0.7178816606734227,0,Moderate,-0.2129138171499195,2.278156699225816
0x6d6a4b953f202f8df5bed40692e7fd865318264a,426,108731.216772,255.23759805633802,683.6092214827381,802.4808920187793,341856.86,0.9882629107981221,0.01641025641025641,1,Moderate,0.36311826616811477,-0.2994691515130309
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,429355.565915,582.5720025983718,3685.7923586769916,7520.085291723202,5542302.86,0.746268656716418,0.3955974842767296,2,Struggling,1.66266939492151,-0.52652995278504
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,564,403011.504159,714.5594045372341,2473.7294561523063,2261.909875886525,1275717.17,0.776595744680851,0.12867132867132866,2,Struggling,1.511563164610598,-1.1044767144959975
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8660,379095.406711,43.775451121362586,183.74635563382813,1497.0306478060047,12964285.41,0.9263279445727483,0.48539371272617005,1,Moderate,-1.2902602163798105,0.32337020614360384
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,746,14900.443047,19.973784245308313,103.93508281677158,3914.1682707774803,2919969.5300000003,0.9450402144772118,0.24759461193072482,1,Moderate,-0.434099144705527,0.07250070453179944
0x8170715b3b381dffb7062c0298972d4727a0a63b,2341,-167621.124781,-71.60236000897052,2309.76302896952,2294.7622768047845,5372038.49,0.7522426313541222,0.15931319278417735,2,Struggling,0.09088015400480472,-1.3684473040978893
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,714,65513.657906,91.7558233977591,528.19207304241,8311.295182072829,5934264.76,0.8837535014005602,0.15384615384615385,2,Struggling,-0.07098381657174346,-0.2809754617467266
0x8477e447846c758f5a675856001ea72298fd9cb5,6559,43917.008976,6.69568668638512,103.63672303701841,936.3677953956396,6141636.37,0.5990242415002287,0.10268035738098413,2,Struggling,-1.2378443847857004,-2.338368026742661
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,892,126578.942134,141.90464364798206,389.9365066746416,3617.8456165919283,3227118.29,0.976457399103139,0.4226736566186107,1,Moderate,-0.2536350260568664,0.6399481598104656
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,5561,106302.875256,19.11578407768387,113.27716352428084,1859.2180812803454,10339111.75,0.9703290775040461,0.8380006408202499,1,Moderate,-1.3092190888938668,1.3913015636651562
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,255,72846.484272,285.67248734117646,1236.3314000609369,1207.4349411764704,307895.91,0.9372549019607843,0.06235011990407674,1,Moderate,0.5786985512712612,-0.47076634441792903
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,230,67845.619531,294.9809544826087,708.225132621893,2851.7160869565214,655894.7,1.0,0.8170515097690941,1,Moderate,-0.1271509651122145,1.645860694032431
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,230,21758.831753,94.6036163173913,433.92708697724953,9860.942304347825,2268016.73,0.7478260869565218,0.7640449438202247,2,Struggling,-0.649787753298742,0.40518079217893727
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6279,2143382.597689,341.3573176762223,2088.8751659825784,4492.344177416786,28207429.09,0.7910495301799649,0.31256363266137244,2,Struggling,0.20885997383004665,-0.6492650771058572
0xb899e522b5715391ae1d4f137653e7906c5e2115,2641,22488.500821,8.515146088981448,449.46704170155397,20609.031442635365,54428452.04,0.8034835289663006,0.6260851591566763,0,Moderate,-0.6628468816449806,0.8235475309823321
0xbaaaf6571ab7d571043ff1e313a9609a10637864,9997,940163.80622,94.04459400020006,823.8338649350309,3480.638275482645,34795940.84,0.9911973592077623,0.9998584371460929,1,Moderate,-1.3615420169148353,1.8874905884344009
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1177,220519.061853,187.35689197366185,2288.9328827375375,8702.076958368734,10242344.58,0.7349192863211554,0.3411586520257478,2,Struggling,0.49541067931182275,-0.7089379937911329
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,22551,836080.553077,37.07509880169393,351.72185168485123,1680.803564808656,37903801.19,0.7630703738193428,0.3067390005972526,2,Struggling,-2.460304299050994,-1.1017024884360709
